snapshot,BW,BY,BB,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2024-05-15 15:00:00+00:00,0.2926807529844652,0.06699671529178287,0.2839286561717649,0.2544954079365154,0.005599200741005554,0.07430302421923866,0.5347934485182172,0.26455435517034265,0.19388617419011858,0.3930481962283218,0.1343144647813259,0.031868971283533706,0.06019134117608747
2024-05-15 16:00:00+00:00,0.3509028692267583,0.09456371189920491,0.29683627492944964,0.3409216020506934,0.006405367209821515,0.08075298333393335,0.5815182878183023,0.2669855996703419,0.2426170973960894,0.44113498068047946,0.1800256863056639,0.0329671786662984,0.06914919769209604
2024-05-15 17:00:00+00:00,0.37484031877591034,0.13654935830243273,0.3030237543402247,0.374617096276789,0.007701272717603091,0.10099212895767634,0.6211825063661199,0.2913281676177324,0.33464010118396265,0.49521533974309573,0.21170246374491702,0.036196338896008734,0.1601416678055785
2024-05-15 18:00:00+00:00,0.40184709591599427,0.14877799707194175,0.3088192514923969,0.41495422968437673,0.007159987604136244,0.10004614279468112,0.647084014930867,0.30523452384679384,0.4224531056669405,0.5354399963020056,0.20267421686312223,0.04305411820822633,0.1618918219712338
2024-05-15 19:00:00+00:00,0.4048235076768729,0.12083998989325535,0.3051777635886654,0.40615160575393106,0.006562914816871716,0.08582119827930863,0.6601665603892972,0.31688544748657865,0.5153625618937412,0.5548013619012904,0.1716914809960673,0.03176250484468106,0.1446937939001232
2024-05-15 20:00:00+00:00,0.3272799079009486,0.1035944656581776,0.3060210313427728,0.36714138617747133,0.006170283670918292,0.0815273265128045,0.6519127081604514,0.30388975373960836,0.5538176122552126,0.5614814857393914,0.16348773902668662,0.02227147922267063,0.13738940401028962
2024-05-15 21:00:00+00:00,0.3212472295893377,0.09058554915538122,0.3273109322990561,0.349319079713228,0.0061455460536242994,0.07770527583458281,0.6505829573428616,0.30179015571403456,0.5588814984192081,0.6123531360000724,0.14024986052745309,0.025621106000279295,0.05611385802636305
2024-05-15 22:00:00+00:00,0.4073214746995479,0.07586357288056693,0.3299876067562291,0.3212177592146948,0.006572552382866351,0.08054105111426721,0.6263165018079313,0.29377651474693567,0.4981964180855517,0.6311816248599772,0.13056602507477372,0.023617649209736028,0.024199055970687004
2024-05-15 23:00:00+00:00,0.41891293833997095,0.0751673843333967,0.3310870678806972,0.330008609056036,0.007218607855810957,0.08023311209849787,0.6133992146620911,0.29929233278042,0.49751947281472225,0.6310594796612374,0.1406337554735013,0.023173229342373872,0.028420685992455792
2024-05-16 00:00:00+00:00,0.40350506564220484,0.07846531022119704,0.3252057369354327,0.4134862888110761,0.0072366550058435,0.0803147858338191,0.6325250286441519,0.2733637302004509,0.4559633554840628,0.5930625948672594,0.12374639792625428,0.025269697483287664,0.028117063835748874
2024-05-16 01:00:00+00:00,0.4042026931855486,0.08236933210942113,0.3186270496713172,0.44961927402202145,0.007764480580526193,0.08002721428461004,0.6410896343068784,0.2581828954566912,0.36484933021927785,0.5723534322116614,0.12081175399841067,0.02046217006834736,0.028759960932463347
2024-05-16 02:00:00+00:00,0.4096832415989324,0.08513785962524532,0.3275051033375505,0.45460643271418577,0.007963063697134952,0.08110916110574201,0.6476975360160789,0.2569759563889037,0.2683205336053372,0.5524411521019607,0.12626422498102913,0.02474797520359086,0.03153443353303565
2024-05-16 03:00:00+00:00,0.4170824941167004,0.09510745337744998,0.32295220859005097,0.44413358166030337,0.008342741743951668,0.08330841630311182,0.637119713922424,0.23634253825031135,0.26434477322928185,0.5518160583562474,0.12823187179297413,0.029634134186990155,0.03372577685344233
2024-05-16 04:00:00+00:00,0.3518737763189447,0.12373299366527699,0.3526608819970025,0.35619532006426113,0.008789864551053182,0.08281858694521387,0.6233837543010812,0.24760255961423994,0.293329008728074,0.5511662000721078,0.13145748052788098,0.032621259412600474,0.18533037951420836
2024-05-16 05:00:00+00:00,0.32166645201008154,0.11447851590940515,0.35830952840161373,0.32019333677167544,0.007990229804151502,0.07874977402229803,0.5887500743709817,0.22939923875519652,0.2106554406500795,0.4816243584652401,0.1407747620743353,0.032782986307896465,0.18315305506200746
2024-05-16 06:00:00+00:00,0.271848871979686,0.07528972192704025,0.3042149877760887,0.2873184375212559,0.007770619706180516,0.0724916350760713,0.5655863163780812,0.20626366648874553,0.16674238865906166,0.39387030365030645,0.10340650247156925,0.03533906730099112,0.095698392925244
2024-05-16 07:00:00+00:00,0.2362818177512661,0.03553788899097242,0.2518451325519689,0.2531204260994018,0.006907061883485406,0.06114008114958103,0.5095317420668557,0.15776574039548938,0.10155287061231107,0.28383490865065764,0.0814387218863578,0.028333198605781595,0.023300465944012506
2024-05-16 08:00:00+00:00,0.19545899901725902,0.02754934713931378,0.2213891340355216,0.2168772258677246,0.005541763157223269,0.05720330134332222,0.4691749489206105,0.12340263273533861,0.07764901061550157,0.25011029279630603,0.08120399456695933,0.024881408850048345,0.016438004399736125
2024-05-16 09:00:00+00:00,0.15879707573095964,0.02352135662571848,0.19908126200620171,0.20344673786328962,0.004702237020294427,0.055633094805551474,0.44435356274372556,0.10777228870228364,0.06269301876593593,0.25151854365821075,0.07705827480340427,0.02375866800267256,0.014606344465860146
2024-05-16 10:00:00+00:00,0.15146450538269818,0.022033730199177478,0.18865631040426123,0.20849959103223756,0.004654367940853322,0.05730877758012864,0.4441490424909295,0.09817861213011192,0.06359014830045329,0.24762456963609794,0.07619139907549607,0.02165808205574284,0.017140478906824363
2024-05-16 11:00:00+00:00,0.1677917296296467,0.021743170314269276,0.19294678469234816,0.22040018021716057,0.004430437278643184,0.05712722892806253,0.458735078504192,0.10317121457953271,0.06196661903040776,0.27867172955841996,0.08311281175436255,0.021072229431857624,0.01932957077807582
2024-05-16 12:00:00+00:00,0.18645556991895204,0.0226401288516131,0.21096192376762873,0.22078716181525268,0.004874810591343039,0.06108850884528033,0.46953111656882773,0.10980515426172296,0.06995685351373677,0.32811573487938145,0.0992601928253192,0.021279954661534494,0.02240560489678233
2024-05-16 13:00:00+00:00,0.19810806192884547,0.023229807446037296,0.23570991744452394,0.21203399742436738,0.004154974491306389,0.06403768883465931,0.5111826112042349,0.12237671891189113,0.06515940074255953,0.40148428201546865,0.09930972006995596,0.02123393752580533,0.01444099428190015
2024-05-16 14:00:00+00:00,0.21912372495094012,0.03486828686834773,0.24413654509198587,0.21849777824615496,0.005001962371170272,0.07391498476428097,0.5563040791619696,0.12739138521386348,0.10294885359570237,0.46518390335886944,0.13704299530836933,0.02391000818291907,0.0150876626317736
2024-05-16 15:00:00+00:00,0.25523829654238656,0.06360911093845055,0.26307533409633116,0.2604488949274932,0.005022960329918273,0.0830268210114183,0.5879250272805188,0.15050120545685158,0.12117798614039718,0.4661426673414066,0.1662504145108589,0.02641400475474767,0.018421047553769963
2024-05-16 16:00:00+00:00,0.3316868973522263,0.11990128677409577,0.2857182349652781,0.3595726553328105,0.004765885576685389,0.10696461824812076,0.6226967173597092,0.20949202578263101,0.1450745516581986,0.4580527032495634,0.19732729374270985,0.024912730030622315,0.07636879528083494
2024-05-16 17:00:00+00:00,0.3407840331089811,0.17316847383268438,0.3509480319858461,0.3635109949501796,0.005416371926400698,0.13548204470539707,0.6333177325784428,0.265231382535946,0.2871660973356409,0.49304228450805326,0.2265288147633295,0.030917925990894855,0.18769629066013147
2024-05-16 18:00:00+00:00,0.3792058089465139,0.18815289561113058,0.36461604385172985,0.38961163702687696,0.005660167137462394,0.15794418520319897,0.653927804910743,0.28231437885743577,0.44258165242817643,0.468815757615722,0.22755198498153725,0.03497823681357873,0.19561143712260506
