timestamp,marginaler_traeger,marginal_ohne_speicher,mef_g_kwh,aef_stunde_g_kwh,deckungsgrad
2024-06-14T14:00:00.000Z,Braunkohle,Braunkohle,1097,249.8,1.03
2024-06-14T15:00:00.000Z,Braunkohle,Braunkohle,1097,294.9,0.47
2024-06-14T16:00:00.000Z,Pumpspeicher,Erdgas,751,341.5,0.50
2024-06-14T17:00:00.000Z,Pumpspeicher,Erdgas,751,376.3,0.75
2024-06-14T18:00:00.000Z,Pumpspeicher,Braunkohle,751,423.2,0.42
2024-06-14T19:00:00.000Z,Pumpspeicher,Erdgas,751,426.1,0.69
2024-06-14T20:00:00.000Z,Pumpspeicher,Erdgas,751,404.1,0.51
2024-06-14T21:00:00.000Z,Pumpspeicher,Braunkohle,751,355.5,0.42
2024-06-14T22:00:00.000Z,Pumpspeicher,Braunkohle,751,301.3,0.35
2024-06-14T23:00:00.000Z,Braunkohle,Braunkohle,1097,254.7,0.79
2024-06-15T00:00:00.000Z,Braunkohle,Braunkohle,1097,241.3,0.77
2024-06-15T01:00:00.000Z,Pumpspeicher,Braunkohle,751,224.6,0.51
2024-06-15T02:00:00.000Z,Pumpspeicher,Braunkohle,751,219.9,0.76
2024-06-15T03:00:00.000Z,Pumpspeicher,Sonstige Konventionelle,751,206.5,0.61
2024-06-15T04:00:00.000Z,Pumpspeicher,Braunkohle,751,188.0,0.66
2024-06-15T05:00:00.000Z,Erdgas,Erdgas,492,170.2,1.27
2024-06-15T06:00:00.000Z,Erdgas,Erdgas,492,158.0,0.93
2024-06-15T07:00:00.000Z,Pumpspeicher,Sonstige Konventionelle,751,156.4,1.14
2024-06-15T08:00:00.000Z,Pumpspeicher,Biomasse,751,146.9,0.81
2024-06-15T09:00:00.000Z,Pumpspeicher,Biomasse,751,140.7,0.86
2024-06-15T10:00:00.000Z,Erdgas,Erdgas,492,139.5,0.42
2024-06-15T11:00:00.000Z,Erdgas,Erdgas,492,144.4,0.33
2024-06-15T12:00:00.000Z,Steinkohle,Steinkohle,968,147.1,0.22
2024-06-15T13:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,143.0,0.52
2024-06-15T14:00:00.000Z,Biomasse,Biomasse,53,141.1,0.27
2024-06-15T15:00:00.000Z,Pumpspeicher,Biomasse,751,149.6,0.38
2024-06-15T16:00:00.000Z,Erdgas,Erdgas,492,167.3,0.25
2024-06-15T17:00:00.000Z,Pumpspeicher,Erdgas,751,207.4,0.59
2024-06-15T18:00:00.000Z,Pumpspeicher,Erdgas,751,270.0,0.70
